Investor name,Website,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum,profile_text
.406 Ventures,https://www.406ventures.com/,"Boston, Massachusetts, United States",USA,"2. Prototype,3. Early Revenue",,VC,,,"
Name: .406 Ventures
Type: VC
Focus: nan
Stages: 2. Prototype,3. Early Revenue
Locations: USA
Check Size: $nan to $nan
"
01booster,https://01booster.co.jp/,,Japan,,,VC,,,"
Name: 01booster
Type: VC
Focus: nan
Stages: nan
Locations: Japan
Check Size: $nan to $nan
"
1confirmation,https://www.1confirmation.com/,,,,,VC,,,"
Name: 1confirmation
Type: VC
Focus: nan
Stages: nan
Locations: nan
Check Size: $nan to $nan
"
1Flourish Capital,https://www.1flourish.com/,,,"2. Prototype,3. Early Revenue",,VC,,,"
Name: 1Flourish Capital
Type: VC
Focus: nan
Stages: 2. Prototype,3. Early Revenue
Locations: nan
Check Size: $nan to $nan
"
1Up Ventures,https://1upfund.com/,,,"2. Prototype,3. Early Revenue",,VC,,,"
Name: 1Up Ventures
Type: VC
Focus: nan
Stages: 2. Prototype,3. Early Revenue
Locations: nan
Check Size: $nan to $nan
"
2B Angels,http://www.2b-angels.com,,,"2. Prototype,3. Early Revenue",,VC,,,"
Name: 2B Angels
Type: VC
Focus: nan
Stages: 2. Prototype,3. Early Revenue
Locations: nan
Check Size: $nan to $nan
"
2B-Community,https://www.2b-community.com/,,,"2. Prototype,3. Early Revenue",,VC,,,"
Name: 2B-Community
Type: VC
Focus: nan
Stages: 2. Prototype,3. Early Revenue
Locations: nan
Check Size: $nan to $nan
"
2C Invest,https://www.2cinvest.fr/,"2, rue Antoine de Saint Exupéry 69002 LYON",France,4. Scaling,,Family office,,,"
Name: 2C Invest
Type: Family office
Focus: nan
Stages: 4. Scaling
Locations: France
Check Size: $nan to $nan
"
2M Companies,http://www.2m.com,"Dallas, Texas, United States",USA,,,Family office,,,"
Name: 2M Companies
Type: Family office
Focus: nan
Stages: nan
Locations: USA
Check Size: $nan to $nan
"
2M2D - Tomorrow Today,https://www.2m2d.no/,,Norway,,,Other,,,"
Name: 2M2D - Tomorrow Today
Type: Other
Focus: nan
Stages: nan
Locations: Norway
Check Size: $nan to $nan
"
3D Innotech,http://www.3d-innotech.com/,,,"2. Prototype,3. Early Revenue",,VC,,,"
Name: 3D Innotech
Type: VC
Focus: nan
Stages: 2. Prototype,3. Early Revenue
Locations: nan
Check Size: $nan to $nan
"
3E Bioventures,http://www.3ebiovc.com/en/,China,"USA,China",3. Early Revenue,,VC,,,"
Name: 3E Bioventures
Type: VC
Focus: nan
Stages: 3. Early Revenue
Locations: USA,China
Check Size: $nan to $nan
"
3L Capital,https://3lcap.com/,"1100 Glendon Avenue PH1 Los Angeles, CA 90024",USA,,,Other,,,"
Name: 3L Capital
Type: Other
Focus: nan
Stages: nan
Locations: USA
Check Size: $nan to $nan
"
3Rodeo,https://3rodeo.com/,,,,,VC,,,"
Name: 3Rodeo
Type: VC
Focus: nan
Stages: nan
Locations: nan
Check Size: $nan to $nan
"
3T Capital,http://www.3tcapital.com/,"46, rue Barrault 75634 PARIS Cedex 13 France",France,3. Early Revenue,,Other,"$300,000",,"
Name: 3T Capital
Type: Other
Focus: nan
Stages: 3. Early Revenue
Locations: France
Check Size: $$300,000 to $nan
"
3TS Capital Partners,https://3tscapital.com,"Kaisaniemenkatu 2B, 8th floor FIN-00100 Helsinki, Finland","Finland,Poland,Bulgaria,Luxembourg,Austria,Turkey,Czech Republic,Slovakia,Hungary","3. Early Revenue,4. Scaling,5. Growth","We invest in exceptional high growth SMEs, which are either proven businesses becoming local leaders or truly innovative global challengers. As a stage-agnostic investor we typically invest in the range of €300,000 to €10 million to finance expansion plans, acquisitions and buyouts.

3TS primarily targets investments in the broader TMT sectors including Technology & Internet (Software, Hardware, Mobile, Ecommerce, etc.), Media & Communications (Digital Media, Operators, etc.) and Technology-Enabled Services (Consumer and Business Services, Healthcare Services, etc.).",VC,"$250,000","$12,000,000","
Name: 3TS Capital Partners
Type: VC
Focus: We invest in exceptional high growth SMEs, which are either proven businesses becoming local leaders or truly innovative global challengers. As a stage-agnostic investor we typically invest in the range of €300,000 to €10 million to finance expansion plans, acquisitions and buyouts.

3TS primarily targets investments in the broader TMT sectors including Technology & Internet (Software, Hardware, Mobile, Ecommerce, etc.), Media & Communications (Digital Media, Operators, etc.) and Technology-Enabled Services (Consumer and Business Services, Healthcare Services, etc.).
Stages: 3. Early Revenue,4. Scaling,5. Growth
Locations: Finland,Poland,Bulgaria,Luxembourg,Austria,Turkey,Czech Republic,Slovakia,Hungary
Check Size: $$250,000 to $$12,000,000
"
3VC,https://www.three.vc/,"Seilergasse 9, 1010 Vienna, Austria","Austria,Bulgaria,Croatia,Czech Republic,Estonia,Germany,Hungary,Latvia,Lithuania,Poland,Romania,Serbia,Slovakia,Slovenia,Switzerland,Ukraine","3. Early Revenue,4. Scaling","We invest in AI, dev tools, deep tech, security, AR/VR, data analytics, digital health, app/mobile, new frontier

We start to support at Seed stage and invest in Series A, B and beyond.

We are looking for teams in the GSA & CEE region with the clear intention to make a difference in the world

We co-invest in syndicates with Tier 1 funds (eg. Forbes’ Midas List) with the ability to proactively support these teams.",VC,"$1,000,000","$5,000,000","
Name: 3VC
Type: VC
Focus: We invest in AI, dev tools, deep tech, security, AR/VR, data analytics, digital health, app/mobile, new frontier

We start to support at Seed stage and invest in Series A, B and beyond.

We are looking for teams in the GSA & CEE region with the clear intention to make a difference in the world

We co-invest in syndicates with Tier 1 funds (eg. Forbes’ Midas List) with the ability to proactively support these teams.
Stages: 3. Early Revenue,4. Scaling
Locations: Austria,Bulgaria,Croatia,Czech Republic,Estonia,Germany,Hungary,Latvia,Lithuania,Poland,Romania,Serbia,Slovakia,Slovenia,Switzerland,Ukraine
Check Size: $$1,000,000 to $$5,000,000
"
4Tech Capital Ventures,https://www.4tech-capital.com/,,,"3. Early Revenue,4. Scaling",,VC,,,"
Name: 4Tech Capital Ventures
Type: VC
Focus: nan
Stages: 3. Early Revenue,4. Scaling
Locations: nan
Check Size: $nan to $nan
"
5 Square,https://5square.nl/,,Netherlands,,,Other,,,"
Name: 5 Square
Type: Other
Focus: nan
Stages: nan
Locations: Netherlands
Check Size: $nan to $nan
"
5AM Ventures,https://5amventures.com/,USA,USA,3. Early Revenue,,VC,,,"
Name: 5AM Ventures
Type: VC
Focus: nan
Stages: 3. Early Revenue
Locations: USA
Check Size: $nan to $nan
"
5M Ventures,https://www.5m-ventures.com/,6 Rue du Général Clergerie 75116 Paris,France,4. Scaling,,Other,,,"
Name: 5M Ventures
Type: Other
Focus: nan
Stages: 4. Scaling
Locations: France
Check Size: $nan to $nan
"
7 Gate Ventures,https://7gate.vc/,,,,,VC,,,"
Name: 7 Gate Ventures
Type: VC
Focus: nan
Stages: nan
Locations: nan
Check Size: $nan to $nan
"
